"","logFC_1_s","logFC_2_s","logFC_3_s","logFC_5_s","logFC_6_s","logFC_7_s","logFC_8_s","logFC_9_s","logFC_10_s","logFC_11_s","logFC_12_s","logFC_13_s","logFC_14_s","logFC_15_s","logFC_16_s","logFC_17_s","logFC_18_s"
"Atg14",0,-0.146292206445891,-0.148460115904301,-0.272763716042124,-0.343361272234382,-0.236483640971973,-0.193889565559027,-0.118472607071483,-0.180645807140162,0.0692121612580285,-0.00274626077480455,0.0478316287551648,-0.0337700292970977,0.016993953311049,-0.0625542319318644,0.0326876551767477,0.000840033443529009
"Atg16",0,-0.0257149764682367,-0.00143990753812329,0.0967688874872081,-0.0788807649221424,0.054643527466391,0.128775810126361,-0.00308398637290797,-0.0537019641653576,-0.00200640269051089,0.0315064749746776,0.0155288396943467,-0.101304412820948,-0.0636655929512715,-0.100491320390176,-0.0971537001042337,-0.0877596701251182
"Atg17",0,0.144705669259352,0.283069697344212,0.142504458052112,-0.212347585795028,0.227075295237275,-0.00915018569194714,0.259183684754127,0.161182824228715,0.193232825790972,0.00408749900337124,0.007789429963033,0.171658948281213,0.183903035506495,0.200943643745769,-0.0752392616589397,0.24554899324627
"Atg3",0,0.106669617018192,0.168315878964479,0.00200920743329824,0.186034309784826,-0.020144895923889,0.0471871732137785,0.274237914007159,0.372260656229089,0.245801657314278,0.181810885984047,0.132164703367017,0.443354366282824,0.478014086886208,0.430273045916279,0.284847344129429,0.382480465795236
"Atg4a",0,0.0727907840767337,0.161579560910097,0.000106790053082229,0.156539650376414,0.0208932821759591,0.0773161045521151,0.237897886709519,0.212533184186639,0.0972653291769783,0.175050565255708,0.294923306356092,0.265828504076834,0.511320391885213,0.2566395189609,0.192150150880962,0.339051543770223
"Atg4b",0,-0.10751826925136,0.010146976974033,-0.0997514973315248,-0.265698707566703,0.0243824095678056,-0.0247752128129566,-0.0617422122708264,-0.0315646189860814,0.0305405007336104,-0.122416904488255,0.0517392916156005,0.139357856109581,0.121128564682088,0.00687220208778871,-0.0155061564442605,0.0322133937059386
"Atg5",0,-0.0501237397495733,0.0130479815960958,-0.0899117144824264,0.131683501702836,0.0706269793762693,-0.0410187092588741,0.314590150678355,0.259357001153603,0.402589132999547,0.246350238311055,0.220198894250144,0.238343400842098,0.350060873394679,0.318358944865754,0.426146365861832,0.254116307437832
"Atg6",0,-0.165572356644516,-0.162949250186976,-0.192000911701483,0.0410745698387496,-0.0465737451144062,-0.130557036220647,-0.156206994181887,-0.00720480720357308,-0.00460998089511921,-0.0322769838449979,-0.0600653658407229,0.0109961284722013,-0.125444449149299,-0.0884584892691036,-0.00185031396951274,0.045031594665458
"Atg7",0,0.035085162595347,-0.0277673890053229,0.126577088903075,0.274266039727634,0.200647449781944,-0.0196825051713834,0.243129426385801,0.155211411495926,0.332945628705199,0.21625263483315,0.276116355977772,0.33372392182124,0.366344834042756,0.310283303790524,0.322036989541984,0.199234299731247
"Atg8a",0,0.107042000593781,0.144733716520882,-0.0607922411680324,0.151537104630869,-0.0104600290297601,-0.205208886369947,-0.125279633755259,-0.052668469429797,0.0503438239111258,0.020683062792612,0.10057728081099,0.220544144793148,0.199260884927963,0.109059803379429,0.139041820484243,0.272306972055178
"Atg9",0,-0.110730352260883,-0.0840857432346249,-0.185655733560909,-0.26212513679152,-0.228402533572579,-0.305512117504853,-0.0764684555170083,0.0145760395789472,0.0350437672468393,-0.0125998295847545,0.0871214133610412,0.118651779613479,0.128458992406985,0.0269341489267285,0.0572644889226277,0.234532790790735
"ATP7",0,0.0046490724320325,-0.0288025722541851,0.0489542980753104,-0.330614428806283,0.0179021961094232,0.034588149864728,-0.102073096533224,-0.0191166172113943,-0.151031433332899,-0.0197979055471977,-0.0414066693466548,-0.0623270328542187,-0.102980584040169,-0.101154400986872,-0.151034337104933,-0.0816026468403415
"ATPCL",0,0.0161174008753235,-0.127601514493991,-0.779593398076647,-0.91250350207862,-0.838739621473993,-0.901781783802669,-0.397961005609561,-0.0617890450718974,-0.38187509929147,-0.601495764187892,-0.320049434501064,0.494976944314667,0.324945723623724,0.318779587887699,-0.0453891608602799,0.410865504888786
"AttA",0,5.90672416507214,6.73741866817136,6.22230649016176,5.50737509120262,5.1134838369312,5.5041646954221,4.46622443566087,5.08220438584454,4.03604300241124,4.18641397701542,5.57756476852475,3.30156798982016,5.61332060938463,4.71539402528222,5.15304418969502,4.14895892586954
"AttB",0,5.17151585365746,5.90889932801247,5.43179233961115,4.90198055796827,4.44562561598974,4.83677868467895,3.96012857137479,4.39317544573304,3.60686106313023,3.686246367081,4.86705909132888,2.56608168237381,4.95631840590732,3.97308147180133,4.43230602143242,3.40794249382846
"AttC",0,5.83019127603011,6.44291596460179,6.64088230234246,6.77686428745448,6.55666480276325,6.41236952132631,5.56943994787131,6.25250848586394,5.16031287716724,5.08521127723091,6.47085241598701,3.89611787239466,6.43344984320658,5.29982656637639,5.86399907392764,5.23754177877595
"AttD",0,3.25356364497227,3.75690193964154,4.12945605679826,3.97319120681216,3.689053398865,3.42995260725633,4.96601327154955,3.88676362946202,5.19307486760544,4.22247595074554,4.46284142626868,1.4748712178856,5.30214614997617,3.59617847694872,4.27591842917272,4.11055764181557
